text (S),location (S),phase (S),sentiment (S)
caa provides mechanism migrants may otherwise called “ illegal ” depriving opportunity apply indian citizenship provided meet certain conditions wesupportcaawesupportcaa,mumbai,0,NEUTRAL
check new release migrant migrant worker narrating journey back home duration 2 minutes 39 seconds language hindi genre drama following film completely made stock footage,hyderabad,1,NEUTRAL
china official death toll novel coronavirus outbreak hubei province rose 121 today bringing total death toll nearly 1 500china coronavirus,hyderabad,0,NEUTRAL
classic example hindus selective media never take case logical end feel sorry common man keeping issues alive writing social media,mumbai,2,NEUTRAL
congratulations bhai srinivas ji completing one year iyc president remarkable work society covid crisis inspire amp many generations wishing good health success bhai,mumbai,2,POSITIVE
congratulations please dont discharge right away would take 14 days completely get well case tested twice discharge covid19 telanganafightscorona covid 19 discharge criteria pdfcovid19 telanganafightscorona,hyderabad,1,POSITIVE
corona virus london wearing mask face medical mask ab aayega maza,delhi,0,NEUTRAL
corona virus makes pinocchios nose longer,mumbai,2,NEUTRAL
covid19 transmitted via mam pathway cut way transmission,kolkata,1,NEUTRAL
day 29 psalm 126 5 prayer affected corona pray 704401 people affected disease pray prevalent countries like usa italy china india countries the… https www instagram com p b vdilkngia igshid gtxibcut01ww,chennai,1,NEUTRAL
dear leaders pranam folded hands narendramodi mohfw india kishanreddybjp bandisanjay bjp interest ts state fact plenty people cant even spend money covid tests people get infected aspect people need forget treatment,hyderabad,1,NEUTRAL
dear nsitharaman narendramodi please amend army pension law get bit share parents also bcas pulwama martyr guru ’ wife took 12crore₹ govt job pension abonded guru ’ aged parents working daily labours ’ attend death anniversary,bangalore,0,NEGATIVE
dgpkarnataka wfieldps respected sir need curfew pass vehicles younger brother admitted mazumdar shah medical center nh health city bommasandra stay kasavanhalli main road please find attached details vehicles doctors letter – mazumdar shaw cancer center,bangalore,1,NEUTRAL
dont guts leadership taken china militarily loss revenue govt,delhi,1,NEGATIVE
dont protest insensitive attitude momota various issues like mla murder murder common man without treatment gundas looted ration gundas looted relief amfan treated cowards dont afraid devil momota amp henchmen protest agher,kolkata,2,NEGATIVE
easy job run facebook groups specifically facebook good figuring word boundaries,bangalore,1,POSITIVE
economic shock feared migrants dont want return cities ndtv,bangalore,1,NEUTRAL
erdogan finally exposed scary agenda turkish illegal migrants trying get greece countries holy war rise ottoman empire,mumbai,0,NEGATIVE
everyone kolkata airport wearing mask didi phrotection nao says masked guard uh ok kolkatakolkata,kolkata,0,NEUTRAL
fact lopanivir ramdesvir retinavir combinations used first line drugs supportive therapy says lot hiv correlation put stamp yes chances covid19 corona engineered virus fairly high lowcovid19,kolkata,0,NEUTRAL
feeling butterflies tummy bae hits maut ka bulava coronaupdates coronavirus quarantinelife memescovid19coronaupdates coronavirus quarantinelife memescovid19,bangalore,1,NEUTRAL
fight scrapping gst go vat regime jobs thousands simple system follow abide,chennai,2,NEUTRAL
forget anosmia e loss sense smell corona affliction mybmchealthdept mybmc rajeshtope11,mumbai,1,NEUTRAL
god show light cure virus found,hyderabad,1,POSITIVE
good job govt stuck rules thumbs,hyderabad,1,MIXED
good night proud bring health time flax quinoa chia seeds extremely beneficial every human keeping body fit lets use recommend team smartvaluegood,kolkata,0,POSITIVE
government pmoindia allowing “ singapore passengers ” free flow indian airports corona ‘ next target singapore cc narendramodi drsjaishankar drharshvardhancorona,delhi,0,NEUTRAL
happening gandhi hospital husband tested covid positive brought us gandhi one know condition patient check oxygen level even levels good bad dont care etelarajender – gandhi hospital,hyderabad,2,NEUTRAL
happy birthday livinglegend sonusood bhai god bless abundantly health happiness success future endeavors really looking forward meet soon sonusoodlivinglegend,hyderabad,2,POSITIVE
hats covid warriors making coimbatore corona free,hyderabad,1,NEUTRAL
heartfelt condomence whole family police department great loss warrior bhagwan unki atma ko shanti de folded hands salute,mumbai,1,NEUTRAL
hello world hows josh floating uncertainty restrictions lockdown amp falling eco amidst covid19 fear kashmir complete comms blackout 7 months amp occupied 7 decades feel plight amp demand freekashmirworld covid19 kashmir freekashmir,delhi,0,NEUTRAL
history public health prevention pandemic situation practically health care personnel last stage front line public lets isolated confined home maintain personal hygiene,kolkata,1,NEUTRAL
honourable prime minister reason stay home justified emergency social contact phone daughter ’ phone gone blank cant repaired lockdown new one bought practically possible survive,delhi,1,MIXED
hw fight covid19 wash hand min 20 sec handcheck cornavirusupdate coronavirus hblpslv musical score musical score musical score musical score loves video tiktok burgerkingindia https vm tiktok com pf6mkj burgerkinguk burgerkinghandcheck cornavirusupdate coronavirus hblpslv tiktok,mumbai,0,NEUTRAL
im thinking reducing monocyte count temporarily buy time prevent cytokine storm patient treated symptomatically better chance mount adaptive immunity fight infection thinking face thinking face covid19 bbcworldcovid19,hyderabad,0,NEUTRAL
ips association ysjagan ncbn pawankalyan kishanreddybjp amitshah andhrapradeshcm appolice dgpapofficial kurnool fate soldier expect situation citizen need enquiry cops beat army soldier violating lockdownappolice kurnool,hyderabad,1,NEUTRAL
karnataka number ’ work patient returned dubai high fever call ambulance manipal hospital,bangalore,0,NEUTRAL
lets release music fire fire harbor covid19 brownexcellencemusicrecords brownboysforever itsharborproductionbaby brown excellence music studios https www instagram com p b ld0s nfem igshid 14r43g5o31w1zharbor covid19 brownexcellencemusicrecords brownboysforever itsharborproductionbaby,delhi,1,NEUTRAL
libraries set maternity wards tamil nadu ’ district government hospitals mssrflibraries,chennai,0,NEUTRAL
looks like lot hope coronavirus coronaindiacoronavirus coronaindia,kolkata,1,MIXED
loss development employment toilets data assamnrc also disappeared like rafael filesassamnrc,hyderabad,0,NEUTRAL
lovely anticipation kaith good job chennaiyin look nice confident habas worried spectators drama high ever imagine packed stadium watching stuff 3 covid19 heroislfinal atkcfccovid19 heroislfinal atkcfc,chennai,0,POSITIVE
lucky team put together beautiful edit im loss words love guys much made day,hyderabad,1,POSITIVE
make one corona ambassador worthless activities news,kolkata,1,NEGATIVE
mamataofficial bungling juggernaut marches probably worst state comes controlling pandemic health infra tatters policies bordering absurdity leadership failed rise challenge westbengal covid19westbengal covid19,mumbai,2,NEGATIVE
many aiims similar hospitals created ur called gandhis specific state families found many taking admissions many development,bangalore,1,NEUTRAL
namo given interviews since pandemic arrived would explain inability administration anticipate exodus migrant workers cities home minister spoken lied,hyderabad,1,NEUTRAL
nehakoppula oooh say p govt announced free treatment accident victims please tweet p cm implement polices kejriwal mam implement promises people vote congress grinning face grinning face sweat smiling face sunglasses paraguay monkey,mumbai,0,NEUTRAL
obviously memory loss due jail term tihar,bangalore,0,NEGATIVE
often made mistake social media driven generation sentiments truth “ popularity talent e g justin bieber followers mozart bach amp beethoven,mumbai,1,NEUTRAL
pakistans government approves new social media rules opponents cry foul economic times imran khan seems following happening neighbourhood https economictimes com news international world news pakistans government approves new social media rules opponents cry foul articleshow 74121421 cms utm source twitter pwa amp utm medium social amp utm campaign socialsharebuttons via economictimes,bangalore,0,NEUTRAL
people used scoff congress tinkering small instruments saving rate justifying govt cant pay today narrative changed even means personal loss social security,bangalore,1,NEGATIVE
pibfactcheck nice c dd broadcasting delhi hospitals phone dd run indian citizen tax money ensure statewise hospital info delhi,chennai,1,NEUTRAL
please ignore corona virus shit sentence face tears joy,delhi,2,NEGATIVE
please report dubai police hatemongering activities sanghi living dubai check disgusting inflammatry comments prophet family members inciting violence muslims social media 1 2,chennai,1,NEGATIVE
pmoindia mohfw india heard realdonaldtrump live usa procuring n95 mask sanitizer etc help pvt players infected usa 140000 india 1000 although v r working sure r late v hav time v shud also get quickly amp distribute free,delhi,1,NEUTRAL
pvnarasimharao neither economic social liberal owaisi hyderabad telangana aimim aimim national incindia bjp4india inctelangana bjp4telangana nvsubhash4bjp asadowaisipvnarasimharao owaisi hyderabad telangana aimim,hyderabad,1,NEUTRAL
railminindia providing employment migrant workers pmgky employment generated equal 90 000 man days 138 railway sites 328cr paid aatmanirbharbharat garibkalyanrozgaryojana bjp4india narendramodi piyushgoyal bjp4telangana bjpitcelltspmgky aatmanirbharbharat garibkalyanrozgaryojana,hyderabad,2,NEUTRAL
request pick kids wandering streets one caretaker unable go school make educate skilled person till age 18 offering job based skill made independent pmo child welfare department,mumbai,1,NEUTRAL
sad know huge loss prayers peace departed soul folded hands folded hands naman karte hain itne talented personality yogesh sir folded hands folded hands,delhi,1,NEGATIVE
scientists say public mask wearing effective stopping spread virus vast majority public uses fabric masks prevent covid 19 delhits arvindkejriwal delhipolice pmoindia amitshah,delhi,1,NEUTRAL
sh narendramodi sir sh drrpnishank sir throughout india university ’ colleges schools hv started sendingstrong msgs parents amp students pay tuitionfees fees july 15th 2020 coronavirus halted nation nil income job loss jolted feesreduction50coronavirus feesreduction50,chennai,1,NEUTRAL
shouldnt worry absence rationality return sanity people go ni regime recently also seen section brahmins going bjp u p find social group threatened anyway thanks discussion take care,kolkata,2,NEGATIVE
sir mujhe apse bahot umeed hain q ki aap bahot achhe hain sab ke liye achha sochte hain please sir sorry main bahot poor family se hun please sir need police job please sir help support thank much sir,kolkata,1,NEUTRAL
sir ready even govts ready ’ trust businessman small business china succeeded manufacturing loss ’ gain,delhi,0,NEGATIVE
small message lill baby please stay home save lives enjoy time family n friends maintain social distance stayhomesavelives beatthevirus indiafightscorona mysore cmofkarnataka kalaburgivarthe narendramodi namoapp publictvnews suvarnanewstvstayhomesavelives beatthevirus indiafightscorona mysore,hyderabad,1,NEUTRAL
social distancing bangalore traffic fuckall always even saturday evening,bangalore,0,NEGATIVE
sonusood due pandemic doesnt job ready kind work run family small request please sir anything let us know sir regards rahul 9985734000,hyderabad,2,NEUTRAL
sonusood helps 12000 migrants reach homes amp bihar clapping hands clapping hands hbdrealherosonusoodhbdrealherosonusood,hyderabad,2,NEUTRAL
strongly believe delhi police go cctv images since 9th dec across city quite strenuous job lot many things logistics stones acids etc man movement tumble delhipolice hmoindia try,kolkata,0,NEUTRAL
super cyclone amphan chapter 2 home biggest loss people faced due supercyclone amphan undoubtedly loss home habitats homes flooded flown wind per govt run nic … https www instagram com p cba1movazjv igshid 1m9ek6fvo96xjsupercyclone amphan,kolkata,1,NEGATIVE
suzy know one thing knew value whitehouse may discussed several times last 3 years good deeds towards public health 350 million americans united states enquire secretservice k9 dog whitehouse kidding happy valentinesday – ecil circlevalentinesday,hyderabad,0,NEUTRAL
talk spike glycproteins 1234 insertions bear uncanny similarity amino acids covid19 corresponding hiv1gp120 hiv1gag 18 aa insertions 4 residue sites tweet layman everyone ’ biochemistcovid19,kolkata,0,NEUTRAL
tamilnadu crosses 20 000 mark 874 new cases coronarvirus reported state today highest single day spike 618 874 cases chennai 765 patients discharged 9 new covid19 deaths reported total tally 20 246 cases 11 313 discharged 154 deathstamilnadu coronarvirus chennai covid19,chennai,1,NEUTRAL
telangana health minister releases song create awareness covid19 telanganafightscorona hyderabad eatala rajendertelangana covid19 telanganafightscorona hyderabad,hyderabad,1,NEUTRAL
thank kes college inviting us conducting ‘ health check ’ staff students really appreciate efforts towards wellness society smiling face smiling eyes folded hands healthcheckup rejoicewellness… https www instagram com p b9hgy7dj1b9 igshid dp75b47vos3dhealthcheckup rejoicewellness,mumbai,0,POSITIVE
thatmomentwhen squirrel tests positive black plague really america ’ need happened china virus ’ start eating squirrel colorado ’ gon na another pandemic ’ going middle agesthatmomentwhen,hyderabad,2,NEGATIVE
today 6400 covid19 cases tamilnadu chennai alone 1100 cases 82 deaths reported tamilnadu today chennai subashcovid19 tamilnadu tamilnadu chennai subash,chennai,2,NEUTRAL
tomorrow might news popout due tiktokbanned lots people loss lesstiktokbanned,mumbai,1,NEUTRAL
u fall sick prolonged period first thing u get apart medicines get blood test apply covid19 testing whats limiting regulating testing astonished face need based limiting price testing isintcovid19,delhi,1,NEGATIVE
uk indeed different case figures look way since overall employment rates non eu migrants belgium gt 50 moreover surely realise tell nothing impact native jobs wages,chennai,0,NEUTRAL
unbelievable scenes mecca today historic hajj amid threat coronavirus afp amazing colorful photos sunny day hajj hajj2020hajj hajj2020,delhi,2,POSITIVE
using skill hardwork returned migrant workers rural development pm garib kalyan rojgar yojana list 25 works scheme aatmanirbharbharat modicares4poor bjp4india pmoindia bjp4telangana bjpitcelltsaatmanirbharbharat modicares4poor,hyderabad,2,NEUTRAL
welcome corona winner trophy party popper,chennai,1,POSITIVE
well good job dcp sir offence though wondering share pictures counselling non muslim leaders well like muslims victims sabka sath sabka vishvas right nevertheless good job sign horns,delhi,0,MIXED
whats update covid19 news coronavirusoutbreak thailand one impacted region amp yet promoting travel region toiindianews httweets hindu pti news mohfw india responsible riskscoronavirusoutbreak,delhi,0,NEUTRAL
whenever feel depressed think 1million migrants walked 1000 kilometers youll ok depression dabe paanv chaos says hai dobarapoocho talk2me love heart exclamationdepression dobarapoocho,mumbai,1,NEUTRAL
yeah god trade license business job cocking low salary rs 15 500 thousand jast 2 bank account icici bank paruli branch kolkata 94 sbi bank new garia sir nagar branch07679 kolkata 94 email rabindas277 gmail com backhand index pointing left mobile number 9874956340 man,kolkata,0,NEUTRAL
𝗡𝗘𝗪𝗦 rolled newspaper selector newspaper cricketers live dangers coronavirus gautam gambhir 𝗕𝘂𝘀𝗶𝗻𝗲𝘀𝘀 𝗜𝗱𝗲𝗮 light bulb thought balloon training class art living corona 𝗣𝗿𝗼𝗺𝗼𝘁𝗶𝗼𝗻 𝗢𝗳𝗳𝗲𝗿 mask amp gloves given early bird prize 𝙁𝙧𝙚𝙚 𝙁𝙧𝙚𝙚 𝙁𝙧𝙚𝙚 gloves gloves face medical maskliving corona,chennai,1,NEUTRAL
150 pulse oxymeters handed pmcpune using naidu hospital flu clinics part iahv care istandwithhumanityistandwithhumanity,bangalore,1,NEUTRAL
2 nd page thehindu comment article bygkga dhi migrants issue,chennai,1,NEUTRAL
7500 sikhs china citizens china students migrant workers,bangalore,0,NEUTRAL
agree majority community always culprit riots preplanned beginning shaheenbaag supported media provoked hate speeches sides responsible happened n loss breadwinner communities,hyderabad,0,NEGATIVE
also balanagar kukatpally heavy soil sand dust raising along vehicles movement tires causing health problems commuters pedestrians plz develop model road clean footpaths rwh pits shady trees scientific busbats taxi bays etc commissionrghmc,hyderabad,0,NEUTRAL
answer v virus mask ambulance r recovery rate treatment love wonderful contest hope win contest contestalert contest winfromhome vmartretail tagging manab m3 goswamiesha lilla graffeo esha 112 im monjilcontestalert contest winfromhome,kolkata,1,NEUTRAL
appreciate good work humanitarian effort someone please teach collector cover nose mask face medical mask good example,chennai,2,POSITIVE
arvindkejriwal think goi make necessary changes constitution politicians cant produces proof barred election admission job commonman need submit documents den cant u cm gives statements vote bank politics,bangalore,0,NEUTRAL
atleast govt come clarification exception august 5 event ayodhya else get exceptions criterias apparently anyone says become anti hindu social media,delhi,2,NEGATIVE
backhand index pointing right light skin tone corona update backhand index pointing left light skin tone credit sharp bharat welcometojamshedpur teamvoh teamwtj teambivu coronaupdates coronaupdatesinjamshedpurwelcometojamshedpur teamvoh teamwtj teambivu coronaupdates coronaupdatesinjamshedpur,kolkata,1,NEUTRAL
bigger fan kerala police news minute watch kerala cops mock man slapped migrant worker video https www thenewsminute com article watch kerala cops mock man slapped migrant worker video 118809 via thenewsminute,bangalore,0,NEUTRAL
bjp4india bjp4bengal request please stop enrolling new migrants tmc kindly give power original bjp cadres thick amp thin party 2021election need change sick people amp color banglarlojjamamatatmc bjp 2021election banglarlojjamamata,kolkata,2,NEGATIVE
boon migrant workers ji folded hands folded hands,chennai,1,NEUTRAL
cmomaharashtra authackeray government fighting covid19 natural attack win win celebrated maharashtra government extends support farmers amidst locust attack,mumbai,1,NEUTRAL
congratulations ahmermkhan kashmir journalist wins kate webb prize reporting lockdown https alshorts page link xrk8az6cgacsfiha6 via alshorts,mumbai,0,POSITIVE
containment enough inter state movement get restricted areas curfew solution,delhi,1,NEUTRAL
corona woes hitting sensex elsecorona sensex,chennai,0,NEUTRAL
country lacking rapists rapistshavetobehanged minor girl raped 21dayslockdown thing dangerous sir narendramodi coronavirus coronaindia indiatoday jharkhandpolice please act shoot 8 people involved https twitter com prahaladlucky status 1244345485978034176rapists rapistshavetobehanged 21dayslockdown coronavirus coronaindia jharkhandpolice,hyderabad,1,NEGATIVE
covid 19 migrant workers india shri sajinck ji address webinar subject covid 19 migrant workers india join us webinar registration link https tinyurl com hrdicovidwebinar migrants migrantlabourers migrantworkersmigrants migrantlabourers migrantworkers,delhi,1,NEUTRAL
covid 19 punjab cm announces extend curfew two weeks lockdownextention punjab extendlockdowncovid 19 lockdownextention punjab extendlockdown,delhi,1,NEUTRAL
covid curfew turing go hand many states migrant labours trouble authorities dilemma poor workers issues must addressed tact indians people parts country need better nd quick solution aliensturing,bangalore,1,NEUTRAL
damn already said yes may try spare first lost 7 8 battery health main last season,mumbai,1,NEGATIVE
dear narendramodi caa n chinesevirus proved muslims follow rules rather got courage attack law enforcing agencies hindus hv resilience fight deadliest virus cant fight demons u plan tackle amitshah 1 2caa chinesevirus,delhi,1,NEUTRAL
deepolice12 dear sir lock work pls take care health wishing team best,bangalore,2,NEUTRAL
dont let come true kerala founding stone corona virus india highly risky get phase iii,bangalore,1,NEUTRAL
doyouknow china constructed 1000 bedded hospital 10 days india established 6370 bedded medical facility overnight fraction cost pmofindia indianrailways… https www instagram com p b vekbsgnybctvdnzzwbpcabna4c2cykfr 9jk0 igshid 3krmy67dnb6mdoyouknow india pmofindia indianrailways,delhi,1,NEUTRAL
dumping new new things govt first ensure required workforce also finish work simply dumping saying done job solution failure government,bangalore,0,NEGATIVE
easing restrictions phase wise opening lockdown missionbeginagain source cmomaharashtramissionbeginagain,mumbai,2,NEUTRAL
effect already showing narendramodi gujarat police official tendered resignation duty time curfew fault asking mla son violated curfew,bangalore,2,NEGATIVE
emotional intelligence critical thinking two competencies ensure humans dont lose jobs,bangalore,2,NEUTRAL
enable apply e pass sir travel private vehicle kindly help sir urgently need take cat hospital today kindly find appointment letter thankyou,mumbai,1,NEUTRAL
entire world become global village villages saved doom corona hvgoenka realshooterdadi anandmahindra coronaalert coronaviruspandemiccoronaalert coronaviruspandemic,bangalore,0,NEUTRAL
even covid negative time know already pay 5 lakhs since treated covid treatment,hyderabad,2,NEGATIVE
even half sad thought id todays loss comes amp told amp taunted team useless amp turning everything around getting spot afc cup playoffs disappointed loss surely proud nevertheless,mumbai,0,MIXED
every body haveing responsibility break carona world wide country wide states wide dear bjp leaders politrics central bjp government give free treatment corona effected people country wide bjp leaders stop allmatti dam increasing,hyderabad,2,NEUTRAL
extremely bad idea bengal left front rule disastrous consequences moreover parents transferable jobs child study,kolkata,2,NEGATIVE
first special train departs lockdown kolkata passenger luggage cart board first train 02301 howrah new delhi special departs howrah kolkata india 12 may 2020 photo indranil aditya nurphoto,kolkata,1,NEUTRAL
focus select export markets india image mulplied several times world seen way virus issue handled us indian pharmaceutical companies well respected china still export bulk items like face mask,chennai,1,NEGATIVE
foreign visitme rs 446•52 crores publicke money barbad ki bahut foreign countries caa ke birodhme charcha ki hay aur supreme courtme petitionvi dakhil ki hay avi unka cornovirus nehi caa virus phail giye hay,kolkata,0,NEUTRAL
gandhi hospital sirf naam ke liye kuch bhi treatment nai hota serious patient ap govt good ts govt zero,hyderabad,2,NEUTRAL
google googleai googleindia 6 yrs old boy asking google “ ok google coronavirus die go away ” grinning face big eyes,bangalore,1,NEUTRAL
government provide medical treatment show paper coronavirusupdatescoronavirusupdates,bangalore,0,NEUTRAL
govt may also curb export top selling generic molecule — paracetamol — supplies remain disrupted due continuing lockdown coronavirus hit china makers tell govt stocked 20 days reporting https theprint health modi govt could curb paracetamol export lockdown continues coronavirus hit china 372697 via theprintindia,delhi,0,NEUTRAL
happiest birthday hero india man came forward help migrants without intention made many believe humanity one many happiest birthday sir sonusood – शीव,mumbai,2,POSITIVE
hello everyone feeling sad stressed anxious angry copingwithcovid join un youth amp ’ webinar series “ youth mental health ” help cope pandemic link http bit ly cwcovid 5 30 pm india youth2030 vforce unv india covid19copingwithcovid youth2030 vforce unv india covid19,hyderabad,1,NEGATIVE
home fitness training weight loss male female 9150125046 health fitness fetchyourbody2020 healthforall gym bodypositivity bodybuilding diet weightloss coronaviruslockdown pandemichealth fitness fetchyourbody2020 healthforall gym bodypositivity bodybuilding diet weightloss coronaviruslockdown pandemic,chennai,1,NEUTRAL
hospitals allowing cashless facility insured covid 19 patients despite provision insurance policy also demanding cash deposits patients taking note irdai asks insurers act https www google com amp www thehindu com business covid honour cashless facility says irdai article32083722 ece amp hindu thhyderabad thehindubiz,hyderabad,2,NEUTRAL
hv enormous respect work dont know stubborn times shd hv cover ed worli koliwada seen pain ppl due sealing r unable get essential stuff non convid patients r dying bcoz lack timely treatment,mumbai,1,MIXED
hyped cover failures terrorism borders coronavirus economy migrants job less,kolkata,2,NEGATIVE
kindly help mentioned list govandi orphans daily wagers migrant labour team support required assist newsangam1 mob 8898685354govandi,mumbai,1,NEUTRAL
lifting lockdown tricky affair coronavirus covid19pandemic mumbailockdown coronavirus covid19pandemic mumbai,mumbai,1,NEUTRAL
looks italians n cultured infectious virus need quarantine public life treatment immediately,bangalore,0,NEGATIVE
loss could even 2 3,bangalore,1,NEGATIVE
mannkibaat pm requests everyone comply lockdown without difficult save scourge coronavirus via namo appmannkibaat,delhi,1,NEUTRAL
many would know alvy ray smith unique distinction selling one companies jobs one gates clapping hands light skin tone,bangalore,1,NEUTRAL
masi mom ’ younger sister dear second mother actually lost cancer 40s ’ loss mourn day precious us one the… https www instagram com p b rh y1b 9u igshid 1odi1yy17yxth,kolkata,1,NEGATIVE
mcdonalds electronic city employes started wearing gloves face mask ensure also take extra care serving food every one flexed biceps flexed biceps flexed biceps – electronic city phase 2,bangalore,0,NEUTRAL
meera mitun voice social causes also,chennai,2,NEUTRAL
mohfw india coronavirus coronavid19 coronavirusupdates coronavirusoutbreak corona china need fight together handshakecoronavirus coronavid19 coronavirusupdates coronavirusoutbreak corona china,bangalore,0,NEUTRAL
mumbaipolice officeofut sir thsi scary sad absolutely ridiculous doctors fraternity never appreciate gear guy needs given proper criminals charges treatment,mumbai,2,NEGATIVE
nasheman news announced chief minister total lockdown bengaluru city benagluru rural week starting 8pm 14th july till 5am 23 july cop shri baskar rao issued instructions officers lockdown,bangalore,2,NEUTRAL
ne curfew b4 tweet potta u remember tat face rolling eyes intha year end la start pandranga nu speak evil monkey,chennai,1,NEUTRAL
needs new fresh meal ideas ⠀ check post awesome meal inspiration ⠀ take example types meals helpful fat loss theres something salads soups scrambles … https www instagram com p b9hvvzuaok9 igshid 4sftm418kmc5,kolkata,0,NEUTRAL
nice achievement follow health sector many normal patients going outside treatment huch many even afford tripura follow meghalaya regard bankrupt kolkata bengal bad clinics including called hospitals,kolkata,1,NEUTRAL
oh boy 4g social networking without vpn strange man shrugging selector mean bhai internet itna taezz kab tha – bangalore,bangalore,0,NEUTRAL
ok know none fault really really well worked hard thankyou streamed please go get rest hope youtube loss 90m,bangalore,0,POSITIVE
pandemic drives us lockdown lets remember doctors journalists service providers put lives line ensure rest us stay safe well informed relatively calm coronavirus covid19coronavirus covid19,mumbai,0,MIXED
people turn group buying services coronavirus lockdown wuhan widened covid19 chinacoronavirus wuhan covid19 china,delhi,0,NEUTRAL
people work environmental issues engage consider important soial issues like health education migrants crisis unemployment etc extremist environmentalists amp irrational insensitive righttolife environmentalistrighttolife environmentalist,mumbai,1,NEUTRAL
pm cares fund accepts micro donations strengthen disaster management capacities encourage research protecting citizens donate covid19 pmcares princeprasad bjp4prince narendramodi jpnaddacovid19 pmcares princeprasad,mumbai,1,NEUTRAL
pmoindia u pls take support rahulgandhi amp anyone wanting 2 help crisis like covid2019 isnt political religious pls give every1 chance 2 go coronavirus amp let india prevail togetherness folded hands indiavscorona spreadthelovecovid2019 political religious coronavirus india togetherness indiavscorona spreadthelove,mumbai,1,NEUTRAL
poverty ridden population needs well planned exicution grave situation magnitude hasty decision putting al curfew harsh weather conditions sans basic amenities threat force penalising untolerable fault calling,bangalore,1,NEGATIVE
power life wuhan residents find grass growing cars almost two months lockdown due coronavirusoutbreak chinese official media cgtnofficial reportscoronavirusoutbreak,delhi,0,NEUTRAL
probably reasons curfew 7p http 7a ensure youngsters dont drive cars speedily empty roads 2 ensure u r forced listen speeches mnstrs ur tv 3 police doctors amp nurses r good job get rest,mumbai,1,NEUTRAL
reason chinese virus losing casualty 1967 war face tears joy winking face tongue,delhi,2,NEUTRAL
ripsushantsinghrajput shocking news yet another loss film industry pensive face pensive faceripsushantsinghrajput,chennai,1,NEUTRAL
sahajayoga mantr meditation4 highest immunity virus possible shortest time instantly day one create armature physical body sure https youtu ga6qgxjmjiy https twitter com sjyotiswarup status 1233430344025739265 19 https www facebook com 100014903745668 posts 784670855373032 app fbl,delhi,0,NEUTRAL
sake argument lets assume story entirely true unlikely convince middle class indians govt hospital best place get treated life threatening situation uphill task sm outrage apart exceptions,bangalore,0,NEGATIVE
shame india non media could reach pm hm action live tv news mobile apps exposed deadly tragic scenario torture painful child birth old aged parents hardworking migrants walking 100s miles highway luggage food torn shoes ‘ inhuman ram rajya ’,kolkata,1,NEGATIVE
shd thought 30 yrs back productions flooded market even indian companies mfg cant suit prices eventually end loss company goes npa happening years,chennai,1,NEGATIVE
shud held immediately get arrested today world fighting terror medical emergency like corona virus amp terrorism guy busy spreading another war big loss humanity,delhi,0,NEGATIVE
social distancing must avoid corona spread last 20 days migrants followed norms corona affected migrants mean govt effort human immunity stand corona immunity less aged person affected,chennai,1,NEUTRAL
sorry loss unfortunately previous generation tough become really impossible talk pensive face many believe destiny assume immune ayurveda homeopathy save,bangalore,2,NEGATIVE
spotted outside bunglow emptied cash vessel pocketed money fake covid 19 relief hung albatross around hospital authorities necks fudging figures covid 19 deaths stashed enough money media reality 1of 2,delhi,1,NEUTRAL
startinternationalflights stranded residents hoping unite children 3 months jobs stake life miserable without family try understand pain folded hands folded handsstartinternationalflights,mumbai,1,NEGATIVE
swati surprised always known ppl following distancing lockdown norms transgressions day 1 compared say ktaka govt see dhanyarajendran twisted tweets make look like talking govt apathy,chennai,1,NEGATIVE
telanganadgp sir 11 people tripura stranded somajiguda trying get back tripura 11 people 4 patient visited aig yashoda hospital treatment stuck since march 25th,hyderabad,1,NEUTRAL
thinking entangling 69 let ask corona bey kuchh karibey toh naahin eib hum 69 karibey toh aa jaao phir na karona nacorona na,delhi,0,NEUTRAL
time lock lockdown delhi duo spinning romantic vibes groovy music make fall love valentines day eve featuring dj sash k amp dj oshin find love the… https www instagram com p b8fmd ipvuw igshid njjxmbdgrhcu,delhi,0,NEUTRAL
trying get likes comments anything job search least mention contacts info really want help job seeker 2 2 fridaythoughts fridayfeeling fridaymotivation fridayvibesfridaythoughts fridayfeeling fridaymotivation fridayvibes,bangalore,0,NEUTRAL
unlock3 guidelines issued come effect august 1 black small square selector night curfew removed black small square selector yoga institutes gymnasiums allowed open august 5 black small square selector independence day functions allowed social distancing black small square selector metro rail cinema halls remain shut iycunlock3,mumbai,2,NEUTRAL
utmost importance year full negativity service much needed great job,chennai,1,NEGATIVE
veteran actor rishi kapoor hospitalised mumbai last year underwent treatment united states deccanheraldmumbai,mumbai,1,NEUTRAL
wear fucking mask literally least helpful thing us covid19 wearamask coronavirus stayathome staythefhome masks mask savelives covidー19covid19 wearamask coronavirus stayathome stayathome staythefhome masks mask savelives covid,chennai,1,NEUTRAL
wear mask caring person suspected covid infection coughing sneezing masks effective used combination hand hygiene dispose masks safely use amp wash hands https youtu ded axffjoq n n,bangalore,0,NEUTRAL
without lung treatment staying kasturba gandhi hospital 14 days treating covid something terrible happens incharge tht crisis plz look authackeray mataonline,mumbai,1,NEGATIVE
wow hes start weight loss program,hyderabad,2,NEUTRAL
xi jin ping personally visited hospital covid19 patients treated modi ji visit kerala see required curb india dont tell life important,delhi,0,NEUTRAL
yeah suburbs bay area seem like police curfew 24 7,kolkata,0,NEUTRAL
